index,entry,name,equation,enzyme,equation_no_coeff
2857,rn:R03359,(R)-synephrine hydro-lyase (methylamine-forming),C01869 <=> C03765 + C00218,4.2.1.88,C01869<=>C03765+C00218
2858,rn:R03360,1-Phosphatidyl-D-myo-inositol 2-acylhydrolase,C01194 + C00001 <=> C03819 + C00060,3.1.1.52,C01194+C00001<=>C03819+C00060
2859,rn:R03361,ATP:1-Phosphatidyl-1D-myo-inositol 4-phosphotransferase,C00002 + C01194 <=> C00008 + C01277,2.7.1.67,C00002+C01194<=>C00008+C01277
2860,rn:R03362,ATP:1-phosphatidyl-1D-myo-inositol 3-phosphotransferase,C00002 + C01194 <=> C00008 + C04549,"2.7.1.137,2.7.1.154",C00002+C01194<=>C00008+C04549
2861,rn:R03363,1-Phosphatidyl-1D-myo-inositol 3-phosphate 3-phosphohydrolase,C04549 + C00001 <=> C01194 + C00009,"3.1.3.64,3.1.3.67",C04549+C00001<=>C01194+C00009
2862,rn:R03364,1-Phosphatidyl-D-myo-inositol inositolphosphohydrolase (cyclic-phosphate-forming),C01194 <=> C04299 + C00641,4.6.1.13,C01194<=>C04299+C00641
2863,rn:R03365,"3,4-Dihydroxy-trans-cinnamate:oxygen 3,4-oxidoreductase (decyclizing)",C01197 + C00007 <=> C04366,1.13.11.22,C01197+C00007<=>C04366
2864,rn:R03366,"S-Adenosyl-L-methionine:3,4-dihydroxy-trans-cinnamate 3-O-methyltransferase",C00019 + C01197 <=> C00021 + C01494,2.1.1.68,C00019+C01197<=>C00021+C01494
2865,rn:R03367,,C01197 <=> C06224 + C00011,4.1.1.102,C01197<=>C06224+C00011
2866,rn:R03369,"3-(2-hydroxyphenyl)propanoate,NADH2:oxygen oxidoreductase(3-hydroxylating)",C01198 + C00007 + C00004 + C00080 <=> C04044 + C00003 + C00001,1.14.13.4,C01198+C00007+C00004+C00080<=>C04044+C00003+C00001
2867,rn:R03370,"stearoyl-[acyl-carrier protein],reduced-ferredoxin:oxygen oxidoreductase (9,10 cis-dehydrogenating)",C04088 + 2 C00138 + C00007 + 2 C00080 <=> C01203 + 2 C00139 + 2 C00001,1.14.19.2,C04088+C00138+C00007+C00080<=>C01203+C00139+C00001
2868,rn:R03371,myo-Inositol-hexakisphosphate 3-phosphohydrolase,C01204 + C00001 <=> C04563 + C00009,"3.1.3.8,3.1.3.62",C01204+C00001<=>C04563+C00009
2869,rn:R03372,myo-inositol-hexakisphosphate 4-phosphohydrolase,C01204 + C00001 <=> C04579 + C00009,"3.1.3.26,3.1.3.62",C01204+C00001<=>C04579+C00009
2870,rn:R03373,4-hydroxyphenyllactate:NAD+ oxidoreductase,C22038 + C00003 <=> C04045 + C00004 + C00080,1.1.1.237,C22038+C00003<=>C04045+C00004+C00080
2871,rn:R03374,"caffeoyl-CoA:3-(3,4-dihydroxyphenyl)lactate 2'-O-caffeoyltransferase",C00323 + C22038 <=> C00010 + C01850,2.3.1.140,C00323+C22038<=>C00010+C01850
2872,rn:R03375,CTP:N-methylethanolamine-phosphate cytidylyltransferase,C00063 + C01210 <=> C00013 + C03486,2.7.7.57,C00063+C01210<=>C00013+C03486
2873,rn:R03376,"[procollagen]-L-lysine,2-oxoglutarate:oxygen oxidoreductase (5-hydroxylating)",C02188 + C00026 + C00007 <=> C01211 + C00042 + C00011,1.14.11.4,C02188+C00026+C00007<=>C01211+C00042+C00011
2874,rn:R03378,GTP:5-hydroxy-L-lysine O-phosphotransferase,C00044 + C16741 <=> C00035 + C03366,2.7.1.81,C00044+C16741<=>C00035+C03366
2875,rn:R03380,UDP-alpha-D-galactose:procollagen-5-hydroxy-L-lysine D-galactosyltransferase,C00052 + C01211 <=> C00015 + C04487,2.4.1.50,C00052+C01211<=>C00015+C04487
2876,rn:R03381,,C06002 + C00010 + C00003 <=> C01213 + C00004 + C00080,1.2.1.-,C06002+C00010+C00003<=>C01213+C00004+C00080
2877,rn:R03383,methylmalonate:CoA ligase (AMP-forming),C02170 + C00010 + C00002 <=> C01213 + C00020 + C00013,6.2.1.-,C02170+C00010+C00002<=>C01213+C00020+C00013
2878,rn:R03384,ATP:1-amino-1-deoxy-scyllo-inositol 4-phosphotransferase,C00002 + C01214 <=> C00008 + C01283,2.7.1.65,C00002+C01214<=>C00008+C01283
2879,rn:R03385,"3-hydroxy-2-methylpyridine-5-carboxylate,NADH:oxygen oxidoreductase (ring-opening)",C01270 + C00007 + C00004 + C00080 <=> C01215 + C00003,1.14.13.242,C01270+C00007+C00004+C00080<=>C01215+C00003
2880,rn:R03386,"3-hydroxy-2-methylpyridine-5-carboxylate,NADPH:oxygen oxidoreductase (ring-opening)",C01270 + C00007 + C00005 + C00080 <=> C01215 + C00006,1.14.13.242,C01270+C00007+C00005+C00080<=>C01215+C00006
2881,rn:R03387,ATP:2-dehydro-3-deoxy-D-galactonate 6-phosphotransferase,C00002 + C01216 <=> C00008 + C01286,"2.7.1.58,2.7.1.178",C00002+C01216<=>C00008+C01286
2882,rn:R03388,"5,6,7,8-tetrahydromethanopterin 5,6-oxidoreductase",C01217 + C00006 <=> C05927 + C00080 + C00005,1.5.1.47,C01217+C00006<=>C05927+C00080+C00005
2883,rn:R03390,"Formylmethanofuran:5,6,7,8-tetrahydromethanopterin 5-formyltransferase",C01001 + C01217 <=> C00862 + C01274,2.3.1.101,C01001+C01217<=>C00862+C01274
2884,rn:R03391,"CDP-4-dehydro-3,6-dideoxy-D-glucose:NAD+ 3-oxydoreductase",C04297 + C00003 + C00001 <=> C01219 + C00004 + C00080,1.17.1.1,C04297+C00003+C00001<=>C01219+C00004+C00080
2885,rn:R03392,"CDP-4-dehydro-3,6-dideoxy-D-glucose:NADP+ 3-oxydoreductase",C04297 + C00006 + C00001 <=> C01219 + C00005 + C00080,1.17.1.1,C04297+C00006+C00001<=>C01219+C00005+C00080
2886,rn:R03393,"D-myo-Inositol-1,4-bisphosphate 1-phosphohydrolase",C01220 + C00001 <=> C03546 + C00009,3.1.3.57,C01220+C00001<=>C03546+C00009
2887,rn:R03394,"D-myo-Inositol-1,4,5-trisphosphate 5-phosphohydrolase",C01245 + C00001 <=> C01220 + C00009,3.1.3.56,C01245+C00001<=>C01220+C00009
2888,rn:R03395,ATP:dihydrostreptomycin-6-phosphate 3'alpha-phosphotransferase,C00002 + C01221 <=> C00008 + C01280,2.7.1.88,C00002+C01221<=>C00008+C01280
2889,rn:R03396,GDP-6-deoxy-D-talose:NAD+ 4-oxidoreductase,C02977 + C00003 <=> C01222 + C00004 + C00080,"1.1.1.135,1.1.1.187",C02977+C00003<=>C01222+C00004+C00080
2890,rn:R03397,GDP-6-deoxy-D-mannose:NAD+ 4-oxidoreductase,C03117 + C00003 <=> C01222 + C00004 + C00080,"1.1.1.187,1.1.1.281",C03117+C00003<=>C01222+C00004+C00080
2891,rn:R03398,GDP-6-deoxy-D-talose:NADP+ 4-oxidoreductase,C02977 + C00006 <=> C01222 + C00005 + C00080,"1.1.1.135,1.1.1.187",C02977+C00006<=>C01222+C00005+C00080
2892,rn:R03399,GDP-6-deoxy-D-mannose:NADP+ 4-oxidoreductase,C03117 + C00006 <=> C01222 + C00005 + C00080,"1.1.1.187,1.1.1.281",C03117+C00006<=>C01222+C00005+C00080
2893,rn:R03401,"8-[(1R,2R)-3-oxo-2-{(Z)-pent-2-enyl}cyclopentyl]octanoate:NADP+ 4-oxidoreductase",C04780 + C00006 <=> C01226 + C00005 + C00080,1.3.1.42,C04780+C00006<=>C01226+C00005+C00080
2894,rn:R03402,"(9Z)-(13S)-12,13-Epoxyoctadeca-9,11,15-trienoate isomerase",C04672 <=> C01226,5.3.99.6,C04672<=>C01226
2895,rn:R03404,3beta-Hydroxyandrost-5-en-17-one 3-sulfate sulfohydrolase,C04555 + C00001 <=> C01227 + C00059,3.1.6.2,C04555+C00001<=>C01227+C00059
2896,rn:R03405,3'-phosphoadenylylsulfate:alcohol sulfotransferase,C00053 + C01227 <=> C00054 + C04555,2.8.2.2,C00053+C01227<=>C00054+C04555
2897,rn:R03406,"Androst-5-ene-3beta,17beta-diol:NAD+ oxidoreductase",C04295 + C00003 <=> C01227 + C00004 + C00080,1.1.1.51,C04295+C00003<=>C01227+C00004+C00080
2898,rn:R03407,"Androst-5-ene-3beta,17beta-diol:NADP+ oxidoreductase",C04295 + C00006 <=> C01227 + C00005 + C00080,1.1.1.51,C04295+C00006<=>C01227+C00005+C00080
2899,rn:R03408,,C01227 + C00080 + C00007 + C00005 <=> C05139 + C00006 + C00001,"1.14.13.-,1.14.14.1",C01227+C00080+C00007+C00005<=>C05139+C00006+C00001
2900,rn:R03409,guanosine 3'-diphosphate 5'-triphosphate 5'-phosphohydrolase,C04494 + C00001 <=> C01228 + C00009,"3.6.1.11,3.6.1.40",C04494+C00001<=>C01228+C00009
2901,rn:R03410,S-Adenosyl-L-methionine:unsaturated-phospholipid methyltransferase (methenylating),C00019 + C01229 <=> C00021 + C04215,2.1.1.16,C00019+C01229<=>C00021+C04215
2902,rn:R03411,S-Adenosyl-L-methionine:unsaturated-phospholipid methyltransferase (cyclizing),C00019 + C01229 <=> C00021 + C04340,2.1.1.79,C00019+C01229<=>C00021+C04340
2903,rn:R03415,1-(1-alkenyl)-sn-glycero-3-phosphoethanolamine aldehydohydrolase,C04635 + C00001 <=> C00071 + C01233,3.3.2.2,C04635+C00001<=>C00071+C01233
2904,rn:R03416,1-Acyl-sn-glycero-3-phosphoethanolamine aldehydohydrolase,C04438 + C00001 <=> C00162 + C01233,3.1.1.5,C04438+C00001<=>C00162+C01233
2905,rn:R03417,L-2-Lysophosphatidylethanolamine aldehydohydrolase,C05973 + C00001 <=> C00162 + C01233,3.1.1.5,C05973+C00001<=>C00162+C01233
2906,rn:R03418,1-alpha-D-Galactosyl-myo-inositol:raffinose galactosyltransferase,C01235 + C00492 <=> C00137 + C01613,2.4.1.67,C01235+C00492<=>C00137+C01613
2907,rn:R03421,N4-(beta-N-Acetyl-D-glucosaminyl)-L-asparagine amidohydrolase,C04540 + C00001 <=> C01239 + C00049,3.5.1.26,C04540+C00001<=>C01239+C00049
2908,rn:R03422,"Nucleoside-2',3'-cyclic-phosphate 2'-nucleotidohydrolase",C01240 + C00001 <=> C03418,3.1.4.37,C01240+C00001<=>C03418
2909,rn:R03423,"Nucleoside-2',3'-cyclic-phosphate 3'-nucleotidohydrolase",C01240 + C00001 <=> C03419,3.1.4.16,C01240+C00001<=>C03419
2910,rn:R03424,S-adenosyl-L-methionine:phosphatidyl-N-methylethanolamine N-methyltransferase,C00019 + C01241 <=> C00021 + C04308,"2.1.1.16,2.1.1.71",C00019+C01241<=>C00021+C04308
2911,rn:R03425,glycine:lipoylprotein oxidoreductase (decarboxylating and acceptor-aminomethylating),C00037 + C02051 <=> C01242 + C00011,1.4.4.2,C00037+C02051<=>C01242+C00011
2912,rn:R03427,"D-myo-Inositol 1,3,4-trisphosphate 1-phosphohydrolase",C01243 + C00001 <=> C04063 + C00009,3.1.3.57,C01243+C00001<=>C04063+C00009
2913,rn:R03428,"ATP:1D-myo-inositol-1,3,4-trisphosphate 5-phosphotransferase",C00002 + C01243 <=> C00008 + C01272,2.7.1.159,C00002+C01243<=>C00008+C01272
2914,rn:R03429,"ATP:1D-myo-inositol-1,3,4-trisphosphate 6-phosphotransferase",C00002 + C01243 <=> C00008 + C04477,2.7.1.159,C00002+C01243<=>C00008+C04477
2915,rn:R03430,"D-myo-Inositol 1,3,4,5-tetrakisphosphate 5-phosphohydrolase",C01272 + C00001 <=> C01243 + C00009,3.1.3.56,C01272+C00001<=>C01243+C00009
2916,rn:R03431,"3-(3,5-Diiodo-4-hydroxyphenyl)lactate:NAD+ oxidoreductase",C04367 + C00003 <=> C01244 + C00004 + C00080,1.1.1.96,C04367+C00003<=>C01244+C00004+C00080
2917,rn:R03433,"ATP:1D-myo-inositol-1,4,5-trisphosphate 3-phosphotransferase",C00002 + C01245 <=> C00008 + C01272,2.7.1.127,C00002+C01245<=>C00008+C01272
2918,rn:R03434,"D-myo-Inositol 1,3,4,5-tetrakisphosphate 3-phosphohydrolase",C01272 + C00001 <=> C01245 + C00009,3.1.3.62,C01272+C00001<=>C01245+C00009
2919,rn:R03435,"1-Phosphatidyl-1D-myo-inositol-4,5-bisphosphate inositoltrisphosphohydrolase",C04637 + C00001 <=> C01245 + C00641,3.1.4.11,C04637+C00001<=>C01245+C00641
2920,rn:R03437,Acetyl-CoA:1-alkyl-sn-glycero-3-phosphocholine 2-O-acetyltransferase,C00024 + C04317 <=> C00010 + C04598,2.3.1.67,C00024+C04317<=>C00010+C04598
2921,rn:R03438,Acyl-CoA:1-alkyl-sn-glycero-3-phosphocholine O-acyltransferase,C00040 + C04317 <=> C00010 + C05212,"2.3.1.23,2.3.1.63",C00040+C04317<=>C00010+C05212
2922,rn:R03439,kynurenate:oxygen oxidoreductase (hydroxylating),C01717 + C00007 + C00004 + C00080 <=> C01249 + C00003,1.14.99.2,C01717+C00007+C00004+C00080<=>C01249+C00003
2923,rn:R03440,kynurenate:oxygen oxidoreductase (hydroxylating),C01717 + C00007 + C00005 + C00080 <=> C01249 + C00006,1.14.99.2,C01717+C00007+C00005+C00080<=>C01249+C00006
2924,rn:R03441,"Kynurenate,acceptor:oxygen oxidoreductase (hydroxylating)",C01717 + C00030 + C00007 <=> C01249 + C00028,1.14.99.2,C01717+C00030+C00007<=>C01249+C00028
2925,rn:R03443,N-acetyl-L-glutamate-5-semialdehyde:NADP+ 5-oxidoreductase (phosphrylating),C01250 + C00009 + C00006 <=> C04133 + C00005 + C00080,1.2.1.38,C01250+C00009+C00006<=>C04133+C00005+C00080
2926,rn:R03444,"(R)-2-hydroxybutane-1,2,4-tricarboxylate hydro-lyase",C01251 <=> C04002 + C00001,"4.2.1.114,4.2.1.-",C01251<=>C04002+C00001
2927,rn:R03445,,C01252 <=> C01717 + C00001,,C01252<=>C01717+C00001
2928,rn:R03446,ADP-D-ribosyl-[dinitrogen reductase] ADP-ribosylhydrolase,C01253 + C00001 <=> C03315 + C00301,3.2.2.24,C01253+C00001<=>C03315+C00301
2929,rn:R03447,NAD+:[dinitrogen reductase](ADP-D-ribosyl)transferase,C00003 + C03315 <=> C00153 + C01253,2.4.2.37,C00003+C03315<=>C00153+C01253
2930,rn:R03448,"1,8-diazacyclotetradecane-2,9-dione lactamhydrolase",C04277 + C00001 <=> C01255,3.5.2.12,C04277+C00001<=>C01255
2931,rn:R03449,ATP:[pyruvate dehydrogenase (lipoamide)] phosphotransferase,C00002 + C01256 <=> C00008 + C01293,2.7.11.2,C00002+C01256<=>C00008+C01293
2932,rn:R03450,[Pyruvate dehydrogenase (lipoamide)]-phosphate phosphohydrolase,C01293 + C00001 <=> C01256 + C00009,3.1.3.43,C01293+C00001<=>C01256+C00009
2933,rn:R03451,"N6,N6,N6-Trimethyl-L-lysine,2-oxoglutarate:oxygen oxidoreductase (3-hydroxylating)",C03793 + C00026 + C00007 <=> C01259 + C00042 + C00011,1.14.11.8,C03793+C00026+C00007<=>C01259+C00042+C00011
2934,rn:R03452,"(6aR,11aR)-3,9-dihydroxypterocarpan,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (6a-hydroxylating)",C04271 + C03024 + C00007 <=> C01263 + C03161 + C00001,1.14.14.93,C04271+C03024+C00007<=>C01263+C03161+C00001
2935,rn:R03454,1-Alkyl-2-acetyl-sn-glycero-3-phosphate phosphohydrolase,C01264 + C00001 <=> C03820 + C00009,3.1.3.59,C01264+C00001<=>C03820+C00009
2936,rn:R03455,Acetyl-CoA:1-alkyl-sn-glycero-3-phosphate 2-O-acetyltransferase,C00024 + C03968 <=> C00010 + C01264,2.3.1.105,C00024+C03968<=>C00010+C01264
2937,rn:R03456,"S-Adenosyl-L-methionine:3',4',5-trihydroxy-3,7-dimethoxyflavone 4'-O-methyltransferase",C00019 + C01265 <=> C00021 + C04444,2.1.1.83,C00019+C01265<=>C00021+C04444
2938,rn:R03457,D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate hydro-lyase,C04666 <=> C01267 + C00001,4.2.1.19,C04666<=>C01267+C00001
2939,rn:R03458,5-amino-6-(5-phosphoribitylamino)uracil:NADP+ 1'-oxidoreductase,C04454 + C00006 <=> C01268 + C00005 + C00080,1.1.1.193,C04454+C00006<=>C01268+C00005+C00080
2940,rn:R03459,"2,5-Diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine 2-aminohydrolase",C01304 + C00001 <=> C01268 + C00014,3.5.4.26,C01304+C00001<=>C01268+C00014
2941,rn:R03460,phosphoenolpyruvate:3-phosphoshikimate 5-O-(1-carboxyvinyl)-transferase,C00074 + C03175 <=> C00009 + C01269,2.5.1.19,C00074+C03175<=>C00009+C01269
2942,rn:R03461,"3-hydroxy-2-methylpyridine-4,5-dicarboxylate 4-carboxy-lyase",C04604 <=> C01270 + C00011,4.1.1.51,C04604<=>C01270+C00011
2943,rn:R03462,"Biphenyl-2,3-diol:oxygen 1,2-oxidoreductase (decyclizing)",C02526 + C00007 <=> C01273,1.13.11.39,C02526+C00007<=>C01273
2944,rn:R03463,"2,6-dioxo-6-phenylhexanoate:NADP+ delta2-oxidoreductase",C03750 + C00006 <=> C01273 + C00005 + C00080,1.3.1.40,C03750+C00006<=>C01273+C00005+C00080
2945,rn:R03464,"5,10-Methenyltetrahydromethanopterin 10-hydrolase (decyclizing)",C04330 + C00001 <=> C01274 + C00080,3.5.4.27,C04330+C00001<=>C01274+C00080
2946,rn:R03465,(3E)-4-(2-Carboxyphenyl)-2-oxobut-3-enoate 2-carboxybenzaldehyde-lyase,C01275 + C00001 <=> C03057 + C00022,4.1.2.34,C01275+C00001<=>C03057+C00022
2947,rn:R03466,"1-Hydroxy-2-naphthoate:oxygen 1,2-oxidoreductase (decyclizing)",C03203 + C00007 <=> C01275,1.13.11.38,C03203+C00007<=>C01275
2948,rn:R03467,"1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol acylhydrolase",C03692 + 2 C00001 <=> C05401 + 2 C00060,3.1.1.26,C03692+C00001<=>C05401+C00060
2949,rn:R03468,"CMP-N-acetylneuraminate:1,2-diacyl-3-beta-D-galactosyl-sn-glycerol N-acetylneuraminyltransferase",C00128 + C03692 <=> C00055 + C04872,2.4.99.5,C00128+C03692<=>C00055+C04872
2950,rn:R03469,ATP:1-phosphatidyl-1D-myo-inositol-4-phosphate 5-phosphotransferase,C00002 + C01277 <=> C00008 + C04637,2.7.1.68,C00002+C01277<=>C00008+C04637
2951,rn:R03470,4-Carboxymuconolactone carboxy-lyase,C01278 <=> C03586 + C00011,4.1.1.44,C01278<=>C03586+C00011
2952,rn:R03471,ATP:4-amino-5-hydroxymethyl-2-methylpyrimidine 5-phosphotransferase,C00002 + C01279 <=> C00008 + C04556,2.7.1.49,C00002+C01279<=>C00008+C04556
2953,rn:R03472,"5-amino-1-(5-phospho-D-ribosyl)imidazole formate-lyase (decarboxylating, 4-amino-2-methyl-5-phosphomethylpyrimidine-forming)",C03373 + C00019 <=> C04556 + C05198 + C00073 + C00058 + C00237,4.1.99.17,C03373+C00019<=>C04556+C05198+C00073+C00058+C00237
2954,rn:R03473,ATP:[L-glutamate:ammonia ligase (ADP-forming)] adenylyltransferase,C00002 + C01281 <=> C00013 + C01299,2.7.7.42,C00002+C01281<=>C00013+C01299
2955,rn:R03474,[L-glutamate:ammonia ligase (ADP-forming)]-O4-(5'-adenylyl)-L-tyrosine:phosphate adenylyltransferase,C01299 + C00009 <=> C00008 + C01281,2.7.7.89,C01299+C00009<=>C00008+C01281
2956,rn:R03475,1-acyl-2-oleoyl-sn-glycero-3-phosphocholine:NAD+ delta12-oxidoreductase,C01282 + C00003 <=> C04636 + C00004 + C00080,,C01282+C00003<=>C04636+C00004+C00080
2957,rn:R03476,1-acyl-2-oleoyl-sn-glycero-3-phosphocholine:NADH:oxygen oxidoreductase (12-hydroxylating),C01282 + C00007 + C00004 + C00080 <=> C04792 + C00003 + C00001,,C01282+C00007+C00004+C00080<=>C04792+C00003+C00001
2958,rn:R03477,L-Arginine:1-amino-1-deoxy-scyllo-inositol-4-phosphate amindinotransferase,C00062 + C01283 <=> C00077 + C01294,2.1.4.2,C00062+C01283<=>C00077+C01294
2959,rn:R03478,"ATP:1D-myo-inositol-1,3,4,6-tetrakisphosphate 5-phosphotransferase",C00002 + C04477 <=> C00008 + C01284,2.7.1.140,C00002+C04477<=>C00008+C01284
2960,rn:R03479,"ATP:1D-myo-inositol-3,4,5,6-tetrakisphosphate 1-phosphotransferase",C00002 + C04520 <=> C00008 + C01284,2.7.1.134,C00002+C04520<=>C00008+C01284
2961,rn:R03482,N-Acetyl-D-glucosaminylphosphatidylinositol acetyhydrolase,C01288 + C00001 <=> C04248 + C00033,3.5.1.89,C01288+C00001<=>C04248+C00033
2962,rn:R03486,UDP-alpha-D-galactose:beta-D-galactosyl-(1->4)-D-glucosyl-(1<->1)-ceramide 4II-alpha-D-galactosyltransferase,C00052 + C01290 <=> C00015 + C04737,2.4.1.228,C00052+C01290<=>C00015+C04737
2963,rn:R03488,"CMP-N-acetylneuraminate:lactosylceramide alpha-2,3-N-acetylneuraminyltransferase",C00128 + C01290 <=> C00055 + C04730,2.4.99.9,C00128+C01290<=>C00055+C04730
2964,rn:R03489,"CMP-N-acetylneuraminate:lactosylceramide alpha-2,6-N-acetylneuraminyltransferase",C00128 + C01290 <=> C00055 + C04740,2.4.99.1,C00128+C01290<=>C00055+C04740
2965,rn:R03490,UDP-N-Acetyl-D-galactosamine:(N-acetylneuraminyl)-D-galactosyl--D-glucosylceramide N-acetyl-D-galactrosaminyltransferase,C00203 + C01290 <=> C00015 + C06135,2.4.1.92,C00203+C01290<=>C00015+C06135
2966,rn:R03491,,C01290 + C00270 <=> C04730 + C00001,3.2.1.18,C01290+C00270<=>C04730+C00001
2967,rn:R03492,"beta-D-Galactosyl-1,4-beta-D-glucosylceramide N-acetylhexosaminohydrolase",C06135 + C00001 <=> C01290 + C01132,3.2.1.52,C06135+C00001<=>C01290+C01132
2968,rn:R03493,3-(4-methylpent-3-en-1-yl)-pent-2-enedioyl-CoA hydro-lyase,C04675 <=> C01291 + C00001,4.2.1.57,C04675<=>C01291+C00001
2969,rn:R03494,geranoyl-CoA:carbon-dioxide ligase (ADP-forming),C00002 + C01920 + C00288 <=> C00008 + C00009 + C01291,6.4.1.5,C00002+C01920+C00288<=>C00008+C00009+C01291
2970,rn:R03495,12beta-hydroxysteroid:NADP+ 12-oxidoreductase,C04661 + C00006 <=> C01292 + C00005 + C00080,1.1.1.238,C04661+C00006<=>C01292+C00005+C00080
2971,rn:R03496,1-Guanidino-1-deoxy-scyllo-inositol-4-phosphate 4-phosphohydrolase,C01294 + C00001 <=> C04280 + C00009,3.1.3.40,C01294+C00001<=>C04280+C00009
2972,rn:R03497,5-O-Methyl-myo-inositol:NAD+ oxidoreductase,C03365 + C00003 <=> C01295 + C00004 + C00080,1.1.1.143,C03365+C00003<=>C01295+C00004+C00080
2973,rn:R03498,D-pinitol:NADP+ oxidoreductase,C03844 + C00006 <=> C01295 + C00005 + C00080,1.1.1.142,C03844+C00006<=>C01295+C00005+C00080
2974,rn:R03502,"1D-1-Guanidino-3-amino-1,3-dideoxy-scyllo-inositol:pyruvate aminotransferase",C01298 + C00022 <=> C04673 + C00041,2.6.1.56,C01298+C00022<=>C04673+C00041
2975,rn:R03503,"ATP:6-hydroxymethyl-7,8-dihydropterin 6'-diphosphotransferase",C00002 + C01300 <=> C00020 + C04807,2.7.6.3,C00002+C01300<=>C00020+C04807
2976,rn:R03504,"7,8-dihydroneopterin glycolaldehyde-lyase [6-(hydroxymethyl)-7,8-dihydropterin-forming]",C04874 <=> C00266 + C01300,4.1.2.25,C04874<=>C00266+C01300
2977,rn:R03506,"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-al:NAD+ 26-oxidoreductase",C01301 + C00003 + C00001 <=> C04722 + C00004 + C00080,,C01301+C00003+C00001<=>C04722+C00004+C00080
2978,rn:R03507,,C05446 + C00007 + 2 C00080 + 2 C00662 <=> C01301 + 2 C00001 + 2 C00667,1.14.15.15,C05446+C00007+C00080+C00662<=>C01301+C00001+C00667
2979,rn:R03508,1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose-5-phosphate carboxy-lyase(cyclizing),C01302 <=> C03506 + C00011 + C00001,4.1.1.48,C01302<=>C03506+C00011+C00001
2980,rn:R03509,N-(5-Phospho-beta-D-ribosyl)anthranilate ketol-isomerase,C04302 <=> C01302,5.3.1.24,C04302<=>C01302
2981,rn:R03510,"Phylloquinone, hydrogen-donor:oxygen oxidoreductase (2,3-epoxidizing)",C02059 + C00030 + C00007 <=> C05849 + C00028 + C00001,1.14.99.20,C02059+C00030+C00007<=>C05849+C00028+C00001
2982,rn:R03511,phylloquinone:oxidized-dithiothreitol oxidoreductase,C02059 + C01119 + C00001 <=> C05849 + C00265,1.17.4.4,C02059+C01119+C00001<=>C05849+C00265
2983,rn:R03512,"3-hydroxy-2-methyl-3-phytyl-2,3-dihydronaphthoquinone:oxidized-dithiothreitol oxidoreductase",C02785 + C01119 <=> C05849 + C00265,1.17.4.5,C02785+C01119<=>C05849+C00265
2984,rn:R03513,"UDP-N-acetyl-D-glucosamine:O-glycosyl-glycoprotein (N-acetyl-D-glucosamine to N-acetyl-D-galactosaminyl-R) beta-1,3-N-acetyl-D-glucosaminyltransferase",C00043 + C04387 <=> C00015 + C01306,2.4.1.147,C00043+C04387<=>C00015+C01306
2985,rn:R03514,"UDP-N-acetyl-D-glucosamine:O-oligosaccharide-glycoprotein (N-acetyl-D-glucosamine to N-acetyl-D-galactosamine of N-acetyl-beta-D-glucosaminyl-1,3-N-acetyl-D-galactosaminyl-R) beta-1,6-N-acetyl-D-glucosaminyltransferase",C00043 + C01306 <=> C00015 + C04917,2.4.1.148,C00043+C01306<=>C00015+C04917
2986,rn:R03515,[3-Methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)]-phosphate phosphohydrolase,C01308 + C00001 <=> C04726 + C00009,3.1.3.52,C01308+C00001<=>C04726+C00009
2987,rn:R03516,ATP:[3-methyl-2-oxobutanoate dehydrogenase (lipoamide)] phosphotransferase,C00002 + C04726 <=> C00008 + C01308,2.7.11.4,C00002+C04726<=>C00008+C01308
2988,rn:R03517,"4-Deoxy-beta-D-gluc-4-enuronosyl-(1,3)-N-acetyl-D-galactosamine-4-sulfate 4-sulfohydrolase",C04864 + C00001 <=> C01310 + C00059,3.1.6.9,C04864+C00001<=>C01310+C00059
2989,rn:R03518,"4-Deoxy-beta-D-gluc-4-enuronosyl-(1,3)-N-acetyl-D-galactosamine-6-sulfate 6-sulfohydrolase",C04865 + C00001 <=> C01310 + C00059,3.1.6.10,C04865+C00001<=>C01310+C00059
2990,rn:R03519,"GDP-L-fucose:1,4-beta-D-galactosyl-N-acetyl-D-glucosaminyl-R 3-L-fucosyltransferase",C00325 + C00694 <=> C00035 + C01311,2.4.1.152,C00325+C00694<=>C00035+C01311
2991,rn:R03520,"(5Z,13E)-(15S)-6,9alpha-epoxy-11alpha,15-dihydroxyprosta-5,13-dienoate:NADP+ 15-oxidoreductase",C01312 + C00006 <=> C04835 + C00005 + C00080,1.1.1.231,C01312+C00006<=>C04835+C00005+C00080
2992,rn:R03521,,C01312 + C00001 <=> C05961,,C01312+C00001<=>C05961
2993,rn:R03522,RX:glutathione R-transferase,C01322 + C00051 <=> C00462 + C02320,2.5.1.18,C01322+C00051<=>C00462+C02320
2994,rn:R03523,Bromochloromethane halidohydrolase,C02661 + C00001 <=> C00067 + C01324 + C00698 + 2 C00080,3.8.1.5,C02661+C00001<=>C00067+C01324+C00698+C00080
